"Module","Page","FrontendPageExists","BackendRouteExists","ControllerCrudComplete","ApiCalls","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","MatchedControllers","MissingApiCalls"
"stock","frontend/src/pages/estoque/StockIntelligencePage.tsx","OK","NOK","NOK","4","NOK","NOK","OK","OK","NOK","","GET /stock/intelligence/abc-curve; GET /stock/intelligence/reorder-points; GET /stock/intelligence/average-cost; GET /stock/intelligence/turnover"
"stock","frontend/src/pages/estoque/StockMovementsPage.tsx","OK","OK","OK","5","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\ProductController.php; backend\app\Http\Controllers\Api\V1\StockController.php","GET /warehouses; POST /stock/import-xml"
"stock-disposals","frontend/src/pages/estoque/StockIntegrationPage.tsx","OK","NOK","NOK","9","NOK","OK","OK","OK","NOK","","GET /rma; PUT /purchase-quotes/:id; GET /purchase-quotes; GET /asset-tags; GET /material-requests; PUT /material-requests/:id; PUT /rma/:id; GET /stock-disposals; PUT /stock-disposals/:id"
"suppliers","frontend/src/pages/cadastros/SuppliersPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\SupplierController.php",""
"tech","frontend/src/pages/tech/TechWorkOrdersPage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","OK","NOK","","GET /tech/sync"
"technician","frontend/src/pages/tech/TechWidgetPage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","OK","NOK","","GET /technician/work-orders"
"technician-cash","frontend/src/pages/tecnicos/TechnicianCashPage.tsx","OK","OK","NOK","6","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\TechnicianCashController.php","GET /technicians/options"
"technicians","frontend/src/pages/tech/TechWorkOrderDetailPage.tsx","OK","NOK","NOK","1","NOK","OK","OK","NOK","NOK","","POST /technicians/customers/:id/geolocation"
"tenants","frontend/src/pages/configuracoes/TenantManagementPage.tsx","OK","OK","OK","8","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\TenantController.php",""
"time-entries","frontend/src/pages/tecnicos/TimeEntriesPage.tsx","OK","OK","OK","7","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Technician\TimeEntryController.php; backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php","GET /technicians/options"
"users","frontend/src/pages/iam/UsersPage.tsx","OK","OK","OK","15","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Iam\UserController.php; backend\app\Http\Controllers\Api\V1\BranchController.php; backend\app\Http\Controllers\Api\V1\Iam\RoleController.php",""
"users","frontend/src/pages/os/WorkOrderCreatePage.tsx","OK","OK","OK","5","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\Master\ProductController.php; backend\app\Http\Controllers\Api\V1\Master\ServiceController.php; backend\app\Http\Controllers\Api\V1\Iam\UserController.php; backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php",""
"users","frontend/src/pages/rh/PerformancePage.tsx","OK","OK","OK","1","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Iam\UserController.php",""
"warehouses","frontend/src/pages/estoque/WarehousesPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","NOK","","POST /warehouses; GET /warehouses; DELETE /warehouses/:id; PUT /warehouses/:id"
"work-orders","frontend/src/pages/os/WorkOrderDetailPage.tsx","OK","OK","OK","17","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php; backend\app\Http\Controllers\Api\V1\Master\ProductController.php; backend\app\Http\Controllers\Api\V1\Master\ServiceController.php; backend\app\Http\Controllers\Api\V1\WorkOrderChecklistResponseController.php; backend\app\Http\Controllers\Api\V1\PdfController.php","POST /work-orders/:id/authorize-dispatch"
"work-orders","frontend/src/pages/os/WorkOrderKanbanPage.tsx","OK","OK","OK","2","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php",""
"work-orders","frontend/src/pages/os/WorkOrdersListPage.tsx","OK","OK","OK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php",""
